,filter_options,id,configuration,provider_experiment_id,clients_options,product,success_variation,clients,name,experiment_event_start,archive,status,variations,provider_id,date_end,date_start
27,,4426,,65d357337f72ca6b144e0338,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/65d357337f72ca6b144e0338],,0,1,2,1,0,1708364340
28,,4405,,65c378dee7eb2e7972a70d32,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/65c378dee7eb2e7972a70d32],,0,1,2,1,0,1707922856
29,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",5077,,,,MU,0,"[""MS_WEB""]",Money. Web. All. Remember attached Paypal for one time payments (iteration 1.2),,0,1,2,0,0,1723040826
30,"{""metrics"": [], ""version"": ""0"", ""explosure"": """", ""dim_is_bot"": [""ALL""], ""dim_source"": [""UG_BLOOMREACH"", ""UGT_IOS"", ""UGT_ANDROID"", ""UG_WEB"", ""UGT_HUAWEI"", ""UG_IOS"", ""UG_ANDROID""], ""dim_country"": [""ALL""], ""dim_platform"": [""0"", ""1"", ""2"", ""3"", ""4""], ""dim_utm_term"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_edu_rights"": [""ALL""], ""dim_edu_status"": [""ALL""], ""dim_pro_rights"": [""ALL""], ""dim_pro_status"": [""ALL""], ""dim_utm_medium"": [""ALL""], ""dim_utm_source"": [""ALL""], ""dim_sing_rights"": [""ALL""], ""dim_sing_status"": [""ALL""], ""dim_source_type"": [""ALL""], ""dim_utm_content"": [""ALL""], ""dim_utm_campaign"": [""ALL""], ""dim_source_screen"": [""ALL""], ""dim_bm_action_name"": [""ALL""], ""dim_bm_campaign_id"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_bm_campaign_name"": [""ALL""], ""dim_user_autorization"": [""ALL""], ""dim_experiment_provider"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",4542,https://alice.mu.se/pages/viewpage.action?pageId=425849912,,"{""UGT_IOS"": [[""version"", ""7.0.35""]], ""UGT_ANDROID"": [[""version"", ""7.0.47""]]}",UG,0,"[""UGT_ANDROID"", ""UGT_IOS""]",[UG Монетизация] Tour Update - Smart Scroll tour updates,Suitable For Tour Update,0,1,2,0,0,1715592117
31,"{""metrics"": [], ""explosure"": ""search_click_cnt"", ""dim_source"": [""UGT_IOS"", ""UGT_ANDROID""], ""dim_platform"": [""ALL""]}",4926,https://alice.mu.se/pages/viewpage.action?pageId=494818120,,"{""UGT_IOS"": [[""version"", ""7.0.47""]], ""UGT_ANDROID"": [[""version"", ""7.0.60""]]}",UG,0,"[""UGT_ANDROID"", ""UGT_IOS""]",[UG Product] UG APP. Fixed search,Search Click,0,1,2,0,1721209819,1721729158
32,,4609,,660599e94d2f27a50ac6413d,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/660599e94d2f27a50ac6413d],,0,1,2,1,0,1711646117
33,,4666,,6616684b1dfb5b01e6429778,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/6616684b1dfb5b01e6429778],,0,1,2,1,0,1712767083
34,,4465,,65ddfa9fcc5a067dcc44a755,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/65ddfa9fcc5a067dcc44a755],,0,1,2,1,0,1709054116
35,,4996,,6699079cbf17e055882819d1,,MU,0,"[""MS_WEB"", ""MS_IOS"", ""MS_ANDROID""]",Imported experiment [BLOOMREACH/6699079cbf17e055882819d1],,0,1,2,1,0,1721388648
36,"{""metrics"": [""tab_view_120s_cnt"", ""tab_view_12s_cnt"", ""tab_view_180s_cnt"", ""tab_view_60s_cnt"", ""tab_view_cnt""], ""version"": ""1"", ""explosure"": """", ""dim_is_bot"": [0], ""dim_source"": [""UG_BLOOMREACH"", ""UGT_IOS"", ""UGT_ANDROID"", ""UG_WEB"", ""UGT_HUAWEI"", ""UG_IOS"", ""UG_ANDROID""], ""dim_country"": [""ALL""], ""dim_platform"": [""0"", ""1"", ""2"", ""3"", ""4""], ""dim_utm_term"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_edu_rights"": [""ALL""], ""dim_edu_status"": [""ALL""], ""dim_pro_rights"": [""ALL""], ""dim_pro_status"": [""ALL""], ""dim_utm_medium"": [""ALL""], ""dim_utm_source"": [""ALL""], ""dim_sing_rights"": [""ALL""], ""dim_sing_status"": [""ALL""], ""dim_source_type"": [""ALL""], ""dim_utm_content"": [""ALL""], ""dim_utm_campaign"": [""ALL""], ""dim_source_screen"": [""ALL""], ""dim_bm_action_name"": [""ALL""], ""dim_bm_campaign_id"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_bm_campaign_name"": [""ALL""], ""dim_user_autorization"": [""ALL""], ""dim_experiment_provider"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",4701,https://alice.mu.se/pages/viewpage.action?pageId=389347196#id-[20240112]UGRedesign:Tabpageonweb[2024XXXX]-Analytics,,,UG,0,"[""UG_WEB""]",Placeholder experiment for Ads Tab page dashboard,App Start,0,1,2,0,0,1717164922
37,"{""metrics"": [], ""version"": ""0"", ""explosure"": ""dim_has_participated"", ""dim_source"": [""ALL""], ""dim_country"": [""ALL""], ""dim_platform"": [""ALL""], ""ratio_metrics"": {""num"": [], ""denum"": [], ""method"": ""linear""}, ""dim_device_type"": [""ALL""], ""dim_is_new_user"": [""ALL""], ""dim_is_authorised"": [""ALL""], ""is_outlayer_filter"": [0, 0], ""exp_calc_start_date"": """", ""dim_has_participated"": [""0"", ""1""], ""dim_has_subscription"": [""ALL""], ""dim_experiment_variation"": [""1"", ""2"", ""3"", ""4"", ""5""]}",4894,,,,MU,0,"[""MS_ANDROID""]",MONEY. APP. Android. Flo 3 iteration,,0,1,2,0,1721124992,1721901758
38,"{""metrics"": []}",5019,,66b0e1f64bbc2f85f9b9c171,,UG,0,"[""UG_WEB"", ""UGT_IOS"", ""UG_IOS"", ""UGT_ANDROID"", ""UG_ANDROID""]",A/B No timer PRO 5.08.24,,0,1,2,1,0,1722873733
